




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	upload_1 (8193)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of cellular response to stress (GO:0080135)	637	408	253.41	+	1.61	6.12E-14	8.15E-12
regulation of transcription, DNA-templated (GO:0006355)	3415	1668	1358.54	+	1.23	6.82E-14	9.01E-12
regulation of catalytic activity (GO:0050790)	2393	1221	951.97	+	1.28	7.48E-14	9.80E-12
regulation of localization (GO:0032879)	2709	1359	1077.68	+	1.26	9.32E-14	1.21E-11
negative regulation of biosynthetic process (GO:0009890)	1649	885	656.00	+	1.35	1.24E-13	1.60E-11
negative regulation of response to stimulus (GO:0048585)	1559	844	620.19	+	1.36	1.31E-13	1.68E-11
cellular nitrogen compound biosynthetic process (GO:0044271)	1289	719	512.78	+	1.40	1.35E-13	1.71E-11
regulation of response to stress (GO:0080134)	1240	696	493.29	+	1.41	1.39E-13	1.74E-11
cytoskeleton organization (GO:0007010)	1169	662	465.05	+	1.42	1.61E-13	2.01E-11
positive regulation of RNA metabolic process (GO:0051254)	1737	923	691.00	+	1.34	2.10E-13	2.60E-11
negative regulation of cellular biosynthetic process (GO:0031327)	1616	867	642.87	+	1.35	2.52E-13	3.09E-11
negative regulation of macromolecule biosynthetic process (GO:0010558)	1558	840	619.80	+	1.36	2.57E-13	3.14E-11
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1547	835	615.42	+	1.36	2.59E-13	3.13E-11
regulation of programmed cell death (GO:0043067)	1456	793	579.22	+	1.37	3.07E-13	3.68E-11
regulation of apoptotic process (GO:0042981)	1426	778	567.28	+	1.37	3.86E-13	4.60E-11
regulation of cellular catabolic process (GO:0031329)	813	488	323.42	+	1.51	5.10E-13	6.03E-11
response to stress (GO:0006950)	3336	1622	1327.11	+	1.22	5.27E-13	6.18E-11
anatomical structure morphogenesis (GO:0009653)	2130	1094	847.35	+	1.29	6.23E-13	7.25E-11
cellular response to DNA damage stimulus (GO:0006974)	720	442	286.43	+	1.54	6.30E-13	7.28E-11
protein transport (GO:0015031)	1183	663	470.62	+	1.41	6.61E-13	7.58E-11
cellular response to organic substance (GO:0071310)	1980	1027	787.67	+	1.30	6.72E-13	7.65E-11
intracellular transport (GO:0046907)	1247	693	496.08	+	1.40	6.94E-13	7.84E-11
organonitrogen compound biosynthetic process (GO:1901566)	1250	694	497.27	+	1.40	7.33E-13	8.23E-11
negative regulation of signal transduction (GO:0009968)	1204	671	478.97	+	1.40	1.16E-12	1.29E-10
chromosome organization (GO:0051276)	1021	582	406.17	+	1.43	2.62E-12	2.90E-10
circulatory system development (GO:0072359)	870	510	346.10	+	1.47	2.71E-12	2.98E-10
nervous system development (GO:0007399)	2193	1115	872.41	+	1.28	2.71E-12	2.96E-10
regulation of cellular component biogenesis (GO:0044087)	950	548	377.92	+	1.45	2.78E-12	3.01E-10
regulation of cell cycle process (GO:0010564)	628	392	249.83	+	1.57	2.79E-12	3.00E-10
regulation of multicellular organismal process (GO:0051239)	2578	1284	1025.57	+	1.25	2.91E-12	3.11E-10
regulation of phosphate metabolic process (GO:0019220)	1379	748	548.59	+	1.36	2.96E-12	3.15E-10
regulation of phosphorus metabolic process (GO:0051174)	1379	748	548.59	+	1.36	2.96E-12	3.13E-10
organic substance transport (GO:0071702)	1927	996	766.59	+	1.30	3.12E-12	3.27E-10
cellular response to chemical stimulus (GO:0070887)	2567	1278	1021.19	+	1.25	3.48E-12	3.63E-10
regulation of cell migration (GO:0030334)	894	520	355.65	+	1.46	3.92E-12	4.05E-10
positive regulation of RNA biosynthetic process (GO:1902680)	1613	853	641.68	+	1.33	4.55E-12	4.67E-10
positive regulation of nucleic acid-templated transcription (GO:1903508)	1611	851	640.88	+	1.33	5.21E-12	5.32E-10
positive regulation of transcription, DNA-templated (GO:0045893)	1611	851	640.88	+	1.33	5.21E-12	5.28E-10
cellular catabolic process (GO:0044248)	1615	853	642.47	+	1.33	5.46E-12	5.50E-10
macromolecule catabolic process (GO:0009057)	909	526	361.61	+	1.45	5.51E-12	5.52E-10
negative regulation of cell communication (GO:0010648)	1301	709	517.56	+	1.37	5.92E-12	5.89E-10
negative regulation of signaling (GO:0023057)	1305	711	519.15	+	1.37	6.30E-12	6.23E-10
regulation of cell differentiation (GO:0045595)	1496	798	595.13	+	1.34	6.83E-12	6.71E-10
positive regulation of signaling (GO:0023056)	1639	862	652.02	+	1.32	7.37E-12	7.20E-10
cell death (GO:0008219)	978	557	389.06	+	1.43	9.09E-12	8.82E-10
humoral immune response (GO:0006959)	337	55	134.06	-	.41	1.24E-11	1.19E-09
regulation of cell motility (GO:2000145)	950	542	377.92	+	1.43	1.35E-11	1.29E-09
response to nitrogen compound (GO:1901698)	1071	599	426.06	+	1.41	1.48E-11	1.41E-09
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1538	813	611.84	+	1.33	1.63E-11	1.54E-09
regulation of phosphorylation (GO:0042325)	1236	675	491.70	+	1.37	1.70E-11	1.60E-09
apoptotic process (GO:0006915)	905	519	360.02	+	1.44	2.05E-11	1.92E-09
cellular macromolecule catabolic process (GO:0044265)	818	478	325.41	+	1.47	2.11E-11	1.96E-09
positive regulation of molecular function (GO:0044093)	1497	793	595.53	+	1.33	2.14E-11	1.98E-09
response to endogenous stimulus (GO:0009719)	1342	722	533.87	+	1.35	2.17E-11	2.00E-09
positive regulation of cell communication (GO:0010647)	1632	854	649.23	+	1.32	2.34E-11	2.14E-09
negative regulation of protein metabolic process (GO:0051248)	1028	576	408.95	+	1.41	2.93E-11	2.66E-09
protein localization to organelle (GO:0033365)	640	390	254.60	+	1.53	3.27E-11	2.95E-09
programmed cell death (GO:0012501)	942	535	374.74	+	1.43	3.62E-11	3.25E-09
response to oxygen-containing compound (GO:1901700)	1567	822	623.38	+	1.32	3.72E-11	3.32E-09
catabolic process (GO:0009056)	1882	962	748.69	+	1.28	4.88E-11	4.34E-09
regulation of transferase activity (GO:0051338)	873	500	347.29	+	1.44	5.98E-11	5.28E-09
establishment of localization (GO:0051234)	3911	1838	1555.85	+	1.18	6.25E-11	5.49E-09
regulation of biological quality (GO:0065008)	3705	1751	1473.90	+	1.19	6.32E-11	5.52E-09
regulation of locomotion (GO:0040012)	990	555	393.84	+	1.41	6.32E-11	5.49E-09
negative regulation of cellular protein metabolic process (GO:0032269)	962	542	382.70	+	1.42	6.48E-11	5.60E-09
response to organonitrogen compound (GO:0010243)	984	552	391.45	+	1.41	6.79E-11	5.83E-09
tube development (GO:0035295)	845	486	336.15	+	1.45	7.17E-11	6.13E-09
phosphorylation (GO:0016310)	874	500	347.69	+	1.44	7.39E-11	6.28E-09
regulation of protein phosphorylation (GO:0001932)	1086	599	432.03	+	1.39	8.20E-11	6.93E-09
regulation of cellular component movement (GO:0051270)	1025	570	407.76	+	1.40	8.38E-11	7.04E-09
positive regulation of signal transduction (GO:0009967)	1460	770	580.81	+	1.33	8.89E-11	7.43E-09
animal organ development (GO:0048513)	3079	1481	1224.87	+	1.21	9.19E-11	7.64E-09
negative regulation of RNA metabolic process (GO:0051253)	1433	756	570.07	+	1.33	1.19E-10	9.85E-09
regulation of anatomical structure morphogenesis (GO:0022603)	908	514	361.22	+	1.42	1.23E-10	1.01E-08
regulation of cellular localization (GO:0060341)	820	472	326.21	+	1.45	1.35E-10	1.10E-08
complement activation (GO:0006956)	139	11	55.30	-	.20	1.45E-10	1.18E-08
regulation of multicellular organismal development (GO:2000026)	1294	692	514.77	+	1.34	1.53E-10	1.24E-08
defense response to bacterium (GO:0042742)	350	62	139.24	-	.45	1.73E-10	1.39E-08
system process (GO:0003008)	2040	618	811.54	-	.76	2.20E-10	1.76E-08
regulation of mitotic cell cycle (GO:0007346)	433	281	172.25	+	1.63	2.44E-10	1.94E-08
positive regulation of protein modification process (GO:0031401)	970	540	385.88	+	1.40	2.73E-10	2.17E-08
protein modification by small protein conjugation or removal (GO:0070647)	849	483	337.74	+	1.43	3.03E-10	2.40E-08
negative regulation of protein modification process (GO:0031400)	500	314	198.91	+	1.58	3.12E-10	2.45E-08
positive regulation of developmental process (GO:0051094)	1267	675	504.03	+	1.34	3.88E-10	3.04E-08
regulation of protein localization (GO:0032880)	853	483	339.34	+	1.42	4.81E-10	3.74E-08
complement activation, classical pathway (GO:0006958)	124	9	49.33	-	.18	4.90E-10	3.79E-08
protein-containing complex subunit organization (GO:0043933)	1337	705	531.88	+	1.33	5.97E-10	4.60E-08
response to abiotic stimulus (GO:0009628)	1125	608	447.54	+	1.36	6.09E-10	4.67E-08
phagocytosis, recognition (GO:0006910)	107	6	42.57	-	.14	7.32E-10	5.58E-08
anatomical structure formation involved in morphogenesis (GO:0048646)	881	493	350.48	+	1.41	9.95E-10	7.55E-08
protein phosphorylation (GO:0006468)	683	399	271.71	+	1.47	1.08E-09	8.19E-08
posttranscriptional regulation of gene expression (GO:0010608)	504	312	200.50	+	1.56	1.16E-09	8.71E-08
tube morphogenesis (GO:0035239)	644	380	256.19	+	1.48	1.17E-09	8.75E-08
protein catabolic process (GO:0030163)	682	398	271.31	+	1.47	1.30E-09	9.66E-08
positive regulation of catabolic process (GO:0009896)	494	306	196.52	+	1.56	1.35E-09	1.00E-07
immune response (GO:0006955)	1678	499	667.53	-	.75	1.36E-09	1.01E-07
cellular response to endogenous stimulus (GO:0071495)	1070	579	425.66	+	1.36	1.43E-09	1.05E-07
regulation of cellular amide metabolic process (GO:0034248)	455	287	181.01	+	1.59	1.49E-09	1.09E-07
B cell receptor signaling pathway (GO:0050853)	130	11	51.72	-	.21	1.62E-09	1.18E-07
protein modification by small protein conjugation (GO:0032446)	710	410	282.45	+	1.45	1.67E-09	1.21E-07
cellular developmental process (GO:0048869)	3463	1625	1377.63	+	1.18	2.03E-09	1.46E-07
regulation of cellular protein localization (GO:1903827)	538	326	214.02	+	1.52	2.59E-09	1.86E-07
regulation of cytoskeleton organization (GO:0051493)	531	322	211.24	+	1.52	2.67E-09	1.91E-07
negative regulation of gene expression (GO:0010629)	879	488	349.68	+	1.40	2.84E-09	2.02E-07
negative regulation of cell death (GO:0060548)	982	535	390.65	+	1.37	3.30E-09	2.34E-07
vasculature development (GO:0001944)	509	311	202.49	+	1.54	3.37E-09	2.38E-07
cellular protein catabolic process (GO:0044257)	629	369	250.23	+	1.47	3.44E-09	2.41E-07
peptidyl-amino acid modification (GO:0018193)	851	474	338.54	+	1.40	3.54E-09	2.47E-07
negative regulation of cellular component organization (GO:0051129)	722	413	287.22	+	1.44	3.88E-09	2.70E-07
protein ubiquitination (GO:0016567)	661	384	262.96	+	1.46	4.00E-09	2.77E-07
neurogenesis (GO:0022008)	1361	706	541.43	+	1.30	4.86E-09	3.35E-07
negative regulation of transcription, DNA-templated (GO:0045892)	1322	688	525.91	+	1.31	4.92E-09	3.38E-07
negative regulation of nucleic acid-templated transcription (GO:1903507)	1324	689	526.71	+	1.31	5.01E-09	3.42E-07
RNA metabolic process (GO:0016070)	1403	724	558.13	+	1.30	5.71E-09	3.89E-07
negative regulation of RNA biosynthetic process (GO:1902679)	1326	689	527.50	+	1.31	5.95E-09	4.03E-07
positive regulation of cell migration (GO:0030335)	522	315	207.66	+	1.52	6.18E-09	4.17E-07
positive regulation of catalytic activity (GO:0043085)	1134	602	451.12	+	1.33	6.68E-09	4.49E-07
response to hormone (GO:0009725)	772	434	307.11	+	1.41	7.30E-09	4.88E-07
embryo development (GO:0009790)	991	536	394.23	+	1.36	7.42E-09	4.94E-07
organic substance catabolic process (GO:1901575)	1587	805	631.33	+	1.28	7.46E-09	4.95E-07
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	128	12	50.92	-	.24	9.04E-09	5.97E-07
positive regulation of cellular catabolic process (GO:0031331)	425	266	169.07	+	1.57	9.34E-09	6.14E-07
transport (GO:0006810)	3752	1736	1492.60	+	1.16	9.55E-09	6.25E-07
regulation of translation (GO:0006417)	399	253	158.73	+	1.59	9.85E-09	6.42E-07
regulation of cell cycle phase transition (GO:1901987)	366	236	145.60	+	1.62	9.99E-09	6.49E-07
regulation of cell population proliferation (GO:0042127)	1650	831	656.39	+	1.27	1.00E-08	6.47E-07
cell differentiation (GO:0030154)	3403	1588	1353.76	+	1.17	1.00E-08	6.47E-07
blood vessel development (GO:0001568)	486	296	193.34	+	1.53	1.02E-08	6.56E-07
enzyme linked receptor protein signaling pathway (GO:0007167)	598	350	237.89	+	1.47	1.03E-08	6.57E-07
cellular response to stimulus (GO:0051716)	6392	2830	2542.83	+	1.11	1.03E-08	6.55E-07
positive regulation of organelle organization (GO:0010638)	583	343	231.93	+	1.48	1.07E-08	6.80E-07
regulation of transcription by RNA polymerase II (GO:0006357)	2538	1218	1009.65	+	1.21	1.17E-08	7.36E-07
DNA repair (GO:0006281)	478	291	190.16	+	1.53	1.27E-08	7.97E-07
positive regulation of multicellular organismal process (GO:0051240)	1412	723	561.71	+	1.29	1.48E-08	9.26E-07
cellular response to oxygen-containing compound (GO:1901701)	1043	556	414.92	+	1.34	1.57E-08	9.76E-07
DNA replication (GO:0006260)	192	144	76.38	+	1.89	1.66E-08	1.03E-06
organelle localization (GO:0051640)	480	291	190.95	+	1.52	1.68E-08	1.04E-06
proteolysis involved in cellular protein catabolic process (GO:0051603)	602	350	239.48	+	1.46	1.70E-08	1.05E-06
gene expression (GO:0010467)	1992	978	792.45	+	1.23	1.81E-08	1.11E-06
regulation of kinase activity (GO:0043549)	752	421	299.16	+	1.41	1.81E-08	1.11E-06
positive regulation of locomotion (GO:0040017)	562	330	223.57	+	1.48	2.20E-08	1.34E-06
positive regulation of cell motility (GO:2000147)	547	323	217.60	+	1.48	2.29E-08	1.39E-06
positive regulation of apoptotic process (GO:0043065)	509	304	202.49	+	1.50	2.45E-08	1.48E-06
regulation of mitotic cell cycle phase transition (GO:1901990)	277	188	110.19	+	1.71	2.46E-08	1.48E-06
regulation of cell projection organization (GO:0031344)	643	368	255.80	+	1.44	2.86E-08	1.71E-06
DNA metabolic process (GO:0006259)	714	401	284.04	+	1.41	3.19E-08	1.91E-06
microtubule cytoskeleton organization (GO:0000226)	521	309	207.26	+	1.49	3.35E-08	2.00E-06
regulation of plasma membrane bounded cell projection organization (GO:0120035)	626	359	249.03	+	1.44	3.55E-08	2.10E-06
positive regulation of cellular component movement (GO:0051272)	560	327	222.78	+	1.47	3.88E-08	2.29E-06
regulation of protein kinase activity (GO:0045859)	631	361	251.02	+	1.44	3.95E-08	2.32E-06
embryo development ending in birth or egg hatching (GO:0009792)	633	362	251.82	+	1.44	4.13E-08	2.42E-06
protein-containing complex assembly (GO:0065003)	1185	615	471.41	+	1.30	4.89E-08	2.86E-06
organonitrogen compound catabolic process (GO:1901565)	1029	544	409.35	+	1.33	5.36E-08	3.12E-06
negative regulation of phosphate metabolic process (GO:0045936)	423	259	168.28	+	1.54	5.66E-08	3.28E-06
negative regulation of phosphorus metabolic process (GO:0010563)	424	260	168.67	+	1.54	5.80E-08	3.35E-06
heterocycle biosynthetic process (GO:0018130)	809	443	321.83	+	1.38	5.86E-08	3.37E-06
actin cytoskeleton organization (GO:0030036)	539	315	214.42	+	1.47	6.50E-08	3.73E-06
positive regulation of transcription by RNA polymerase II (GO:0045944)	1185	614	471.41	+	1.30	6.52E-08	3.72E-06
positive regulation of phosphorylation (GO:0042327)	807	441	321.04	+	1.37	6.76E-08	3.85E-06
chordate embryonic development (GO:0043009)	613	350	243.86	+	1.44	7.09E-08	4.02E-06
